"organ","stat","year","latitude","city_code","home_number","ud","hard_code","month","street","dat_sover","objectid","time_period","reg_code","crime_code","longitude"
"РУВД Алатауского района","ст.188 ч.2","2016","43.255734973999999","г. Алматы","274","167512030000088","2","1","РАЙЫМБЕКА","01.01.2016","888288","1","Алатауский р-н","1880","76.841439030000004"
"РУВД Алатауского района","ст.188 ч.2","2016","43.315753393999998","г. Алматы","","167512030000086","2","1","БЕКБОЛАТА-1 МКР.ОЖЕТ","01.01.2016","2247834","1","Алатауский р-н","1880","76.888089863000005"
"РУВД Алатауского района","ст.188 ч.1","2016","43.259301903999997","г. Алматы","279/1","167512030000010","2","1","РАЙЫМБЕКА","01.01.2016","2267595","1","Алатауский р-н","1880","76.885741890000006"
"РУВД Алмалинского района","ст.293 ч.1","2016","43.265624774000003","г. Алматы","481","167511030000027","1","1","СЕЙФУЛЛИНА","01.01.2016","827189","2","Алмалинский р-н","2930","76.930617968999996"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.255673670999997","г. Алматы","59","167511030000080","2","1","ТОЛЕ БИ","01.01.2016","868121","3","Алмалинский р-н","1880","76.943073419000001"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.245261388000003","г. Алматы","96","167511030000067","2","1","ШЕВЧЕНКО","01.01.2016","889201","2","Алмалинский р-н","1880","76.934666347000004"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.261686611000002","г. Алматы","7","167511030000090","2","1","КАШГАРСКАЯ","01.01.2016","884962","1","Алмалинский р-н","1880","76.925641185999993"
"РУВД Алмалинского района","ст.190 ч.1","2016","43.267802152000002","г. Алматы","30","167511030000424","1","1","АБЫЛАЙ ХАНА","01.01.2016","2041535","1","Алмалинский р-н","1900","76.940887513000007"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.228671458999997","г. Алматы","36","167513030000031","2","1","МКР.1","01.01.2016","840864","1","Ауэзовский р-н","1880","76.848816334000006"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.228702233999996","г. Алматы","88","167513030000058","2","1","МКР.АКСАЙ-4","01.01.2016","2507172","1","Ауэзовский р-н","1880","76.843292185999999"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.233215952999998","г. Алматы","2Д","167514030000041","2","1","ТИМИРЯЗЕВА","01.01.2016","1999428","3","Бостандыкский р-н","1880","76.939354726000005"
"РУВД Бостандыкского района","ст.190 ч.1","2016","43.222817738000003","г. Алматы","","167514030000047","1","1","Розабакиева уг Бабаева","01.01.2016","2290926","3","Бостандыкский р-н","1900","76.891647503000002"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.266747004999999","г. Алматы","241Е","167515030000256","2","1","РАЙЫМБЕКА","01.01.2016","865748","1","Жетысуский р-н","1880","76.901161322999997"
"РУВД Медеуского района","ст.188 ч.1","2016","43.260846067999999","г. Алматы","12","167517030000123","2","1","ГОГОЛЯ","01.01.2016","865839","1","Медеуский р-н","1880","76.962300987000006"
"РУВД Турксибского района","ст.107 ч.1","2016","43.313929580999996","г. Алматы","121","167519030000018","1","1","СЕЙФУЛЛИНА","01.01.2016","816534","1","Турксибский р-н","1070","76.938970127000005"
"РУВД Алатауского района","ст.293 ч.1","2016","43.269770545","г. Алматы","","167512030000114","1","1","РЫСКУЛОВА","02.01.2016","2351276","3","Алатауский р-н","2930","76.878054062000004"
"РУВД Алатауского района","ст.188 ч.1","2016","43.258362040000002","г. Алматы","","167512030000129","2","1","РАЙЫМБЕКА","02.01.2016","2247848","1","Алатауский р-н","1880","76.875657383999993"
"РУВД Алатауского района","ст.190 ч.3","2016","43.251800261","г. Алматы","","167512030000144","3","1","","02.01.2016","2278361","1","Алатауский р-н","1900","76.833946294"
"РУВД Алмалинского района","ст.293 ч.1","2016","43.255673670999997","г. Алматы","59","167511030000179","1","1","ТОЛЕ БИ","02.01.2016","785819","2","Алмалинский р-н","2930","76.943073419000001"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.265624774000003","г. Алматы","481","167511030000157","2","1","СЕЙФУЛЛИНА","02.01.2016","888961","1","Алмалинский р-н","1880","76.930617968999996"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.234704184000002","г. Алматы","14","167513030000121","2","1","МКР.2","02.01.2016","807070","3","Ауэзовский р-н","1880","76.858245092000004"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.225316667999998","г. Алматы","","167514030000092","2","1","ТИМИРЯЗЕВА УГЛ. УЛ. РАДОСТОВЦА","02.01.2016","2304551","1","Бостандыкский р-н","1880","76.894554619999994"
"РУВД Жетысуского района","ст.191 ч.1","2016","43.263931438","г. Алматы","249","167515030000147","2","1","РАЙЫМБЕКА","02.01.2016","843966","1","Жетысуский р-н","1910","76.898895632999995"
"РУВД Жетысуского района","ст.188 ч.1","2016","43.269599990000003","г. Алматы","54","167515030000253","2","1","МОЧАЛОВА","02.01.2016","2195263","1","Жетысуский р-н","1880","76.889662126999994"
"РУВД Медеуского района","ст.293 ч.2","2016","43.216372241999998","г. Алматы","","167517030000095","2","1","МЕДЕУ ПЛОТИНА","02.01.2016","2582564","1","Медеуский р-н","2930","76.929749157000003"
"РУВД Алатауского района","ст.188 ч.2","2016","43.271566974000002","г. Алматы","126А","167512030000235","2","1","КОШЕК БАТЫРА ПЕР.","03.01.2016","2553358","1","Алатауский р-н","1880","76.832708451000002"
"РУВД Алатауского района","ст.188 ч.1","2016","43.258031676000002","г. Алматы","1В","167512030000210","2","1","АКСАЙСКАЯ","03.01.2016","2382260","1","Алатауский р-н","1880","76.846726994999997"
"РУВД Алатауского района","ст.188 ч.1","2016","43.256960268999997","г. Алматы","2Б","167512030000229","2","1","ЕМЦОВА","03.01.2016","2013475","1","Алатауский р-н","1880","76.861785122000001"
"РУВД Алмалинского района","ст.188 ч.1","2016","43.265624774000003","г. Алматы","481","167511030000174","2","1","СЕЙФУЛЛИНА","03.01.2016","868114","1","Алмалинский р-н","1880","76.930617968999996"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.244054026999997","г. Алматы","149","167511030000201","2","1","ШЕВЧЕНКО","03.01.2016","884960","2","Алмалинский р-н","1880","76.908373131000005"
"РУВД Алмалинского района","ст.188 ч.2","2016","43.242123755999998","г. Алматы","69/91","167511030000209","2","1","АБАЯ","03.01.2016","2138902","3","Алмалинский р-н","1880","76.931577825999995"
"РУВД Ауэзовского района","ст.188 ч.1","2016","43.223117144","г. Алматы","8","167513030000138","2","1","МКР.3","03.01.2016","1963854","1","Ауэзовский р-н","1880","76.850622873999995"
"РУВД Ауэзовского района","ст.188 ч.2","2016","43.221745394000003","г. Алматы","54","167513030000155","2","1","МКР.ЖЕТЫСУ-2","03.01.2016","2240472","1","Ауэзовский р-н","1880","76.848059818999999"
"РУВД Бостандыкского района","ст.188 ч.1","2016","43.217459478999999","г. Алматы","42/4","167514030000171","2","1","ТИМИРЯЗЕВА","03.01.2016","2556072","2","Бостандыкский р-н","1880","76.908704623999995"
"РУВД Бостандыкского района","ст.188 ч.2","2016","43.202607014999998","г. Алматы","247А","167514030000201","2","1","РОЗЫБАКИЕВА","03.01.2016","2556068","3","Бостандыкский р-н","1880","76.892085663000003"
